,WT dice,WT jaccard,TC dice,TC jaccard,ET dice,ET jaccard
393,1.1655011655011656e-12,1.1655011654998071e-12,8.695652173913044e-12,8.69565217383743e-12,1.7857142857142857e-11,1.7857142856823982e-11
394,0.9615639496358516,0.925973197192134,1.25e-10,1.24999999984375e-10,5e-10,4.9999999975e-10
395,0.9297038588097517,0.8686416992734105,0.9205260148662092,0.8527542372882916,0.6146993318507795,0.4437299035387661
396,1.5625e-11,1.562499999975586e-11,1.0,1.0,1.0,1.0
397,1.0,1.0,1.0,1.0,1.0,1.0
398,0.9235237173291384,0.8579136690650038,0.9310344827601881,0.8709677419358622,0.8952042628792185,0.8102893890681341
399,0.9322784810129747,0.8731475992887533,0.7330721880251818,0.5786219081275807,0.7471526195911161,0.5963636363643703
400,0.4771151178932039,0.3132969034620887,1.0,1.0,1.0,1.0
401,1.0,1.0,1.0,1.0,1.0,1.0
402,2.173913043478261e-11,2.1739130434310023e-11,1.0,1.0,1.0,1.0
403,1.0,1.0,1.0,1.0,1.0,1.0
404,0.7392344497613637,0.5863377609112084,0.9375000000016447,0.8823529411768348,0.8406909788886756,0.7251655629148174
405,0.9416846652272138,0.8897959183674369,0.7871657754021391,0.6490299823639347,0.606918238995283,0.43566591422249284
406,0.9466606902738682,0.8987234042554053,0.5842696629269664,0.4126984127030738,0.7307692307788461,0.5757575757640035
407,0.725539387858003,0.5692913385830163,0.833684210528421,0.7148014440443509,0.8317757009369159,0.7120000000011519
408,0.9160269830194232,0.8450643776824366,0.8452665941242655,0.7320015077272024,0.8836695219676707,0.7915841584159448
409,0.839316239317094,0.7231222385865639,1.0,1.0,1.0,1.0
410,0.8601684717210589,0.7546452702703739,1.0,1.0,1.0,1.0
411,0.9162056955543947,0.8453686200378656,1.0,1.0,1.0,1.0
412,1.0,1.0,1.0,1.0,1.0,1.0
413,1.0,1.0,1.0,1.0,1.0,1.0
414,0.8810637773949767,0.7874119718310795,0.4519774011305085,0.2919708029202248,0.6026936026952862,0.43132530120618956
415,0.6270598438859497,0.4567277321544809,0.9388185654018987,0.8846918489067899,0.901251738527121,0.820253164557417
416,0.9114441416900545,0.8372966207761736,1.0,1.0,1.0,1.0
417,1.1111111111111113e-11,1.1111111110987654e-11,1.1111111111111113e-11,1.1111111110987654e-11,4.166666666666667e-11,4.1666666664930555e-11
418,7.142857142857143e-11,7.142857142346939e-11,1.0,1.0,1.0,1.0
419,1.0,1.0,1.0,1.0,1.0,1.0
420,0.9310808216550203,0.871048850574759,0.6894472361819095,0.5260736196326287,0.7486772486785714,0.5983086680769591
421,0.9021794222002028,0.8217913204064434,1.0,1.0,1.0,1.0
422,0.9113573407205678,0.8371501272265667,0.8500000000009615,0.739130434783045,0.9365426695853392,0.8806584362142373
423,0.22727272728030304,0.12820512821257943,1.0,1.0,1.0,1.0
424,1.0,1.0,1.0,1.0,1.0,1.0
425,1.0,1.0,1.0,1.0,1.0,1.0
426,0.8506616257107751,0.7401315789482232,1.0,1.0,1.0,1.0
427,1.6393442622950822e-11,1.6393442622682076e-11,1.0,1.0,1.0,1.0
428,0.9728931364032146,0.9472170529521321,0.9168367346941326,0.8464437117287581,0.8690909090912121,0.7684887459808315
429,0.9033959775802836,0.8238123872520603,0.8341708542720746,0.7155172413796607,0.8412197686656151,0.725952813067648
430,1.0,1.0,1.0,1.0,1.0,1.0
431,0.863551401871028,0.7598684210534215,1.0,1.0,1.0,1.0
432,0.9074074074079861,0.8305084745764507,1.0,1.0,1.0,1.0
433,0.8745013807919607,0.7769901853872535,1.0,1.0,1.0,1.0
434,8.130081300813009e-12,8.13008130074691e-12,3.3333333333333335e-11,3.3333333332222224e-11,3.3333333333333335e-11,3.3333333332222224e-11
435,0.7106623984242797,0.5511841100078109,0.8966921119597965,0.8127306273064459,0.8557993730415361,0.7479452054797974
436,1.1764705882352942e-11,1.1764705882214533e-11,1.0,1.0,1.0,1.0
437,4.166666666666667e-11,4.1666666664930555e-11,1.0,1.0,1.0,1.0
438,9.319664492078286e-13,9.3196644920696e-13,4.255319148936171e-12,4.255319148918063e-12,1.1627906976744187e-11,1.1627906976608978e-11
439,0.7822634017213765,0.6423913043482148,1.0,1.0,1.0,1.0
440,0.9267716535437008,0.8635363169480091,0.961038961039725,0.9250000000001103,0.9489395129622938,0.9028400597908777
441,0.36636283446074686,0.2242620590355564,1.0277492291880781e-12,1.027749229187022e-12,4.424778761061947e-12,4.4247787610423686e-12
442,1.0,1.0,1.0,1.0,1.0,1.0
443,0.4931506849452054,0.3272727272849587,9.090909090909091e-11,9.090909090082645e-11,5e-10,4.9999999975e-10
444,0.9279295154186785,0.8655489809336405,0.8539932508438696,0.745190420102181,0.7192008879027006,0.5615251299829223
445,0.9190955205916087,0.8503022589882516,0.7585946354367208,0.6110772976265301,0.8599269183928137,0.7542735042737668
446,1.0,1.0,1.0,1.0,1.0,1.0
447,0.9582235604068499,0.9197976878613296,0.943620178041967,0.8932584269663778,0.8444227005875734,0.7307366638444278
448,1.0,1.0,1.0,1.0,1.0,1.0
449,1.0,1.0,1.0,1.0,1.0,1.0
450,1.0,1.0,1.0,1.0,1.0,1.0
451,1.0,1.0,1.0,1.0,1.0,1.0
452,1.0,1.0,1.0,1.0,1.0,1.0
453,1.0,1.0,1.0,1.0,1.0,1.0
454,0.869416979202523,0.7689987937275217,0.641478439425462,0.4721886336157967,0.6482449589253174,0.4795580110502988
455,1.0,1.0,1.0,1.0,1.0,1.0
456,0.8562340966922393,0.7486095661847054,0.713248638838778,0.5543018335686157,0.795520934761928,0.6604688763139366
457,0.7933200551556612,0.6574403250381774,0.09150326797603485,0.047945205481625695,0.08571428571904761,0.04477611940773744
458,1.0,1.0,1.0,1.0,1.0,1.0
459,1.0,1.0,1.0,1.0,1.0,1.0
460,0.8441247002406075,0.7302904564319083,1.0,1.0,1.0,1.0
461,0.940000000001,0.8867924528304023,1.0,1.0,1.0,1.0
462,2e-10,1.9999999996e-10,1.0,1.0,1.0,1.0
463,0.9772453285112267,0.9555031678208405,0.9663522814174103,0.9348951911220875,0.901302261823338,0.8203368683718589
464,0.9349089500195662,0.8777737359040095,0.6857142857190476,0.5217391304382484,0.6265060241024096,0.45614035088196364
465,0.7588477366263374,0.611405835544282,1.0,1.0,1.0,1.0
